Title,Company,Location,Date,Description,Link
Machine Learning Engineer,ServIT Consulting LLC,Remote,Today,"Position: Machine Learning Engineer/Data Scientist Location: Fully Remote Job Description: Machine Learning Engineer/Data Scientist: Deliver insights to help our clients turn data into action as a Data Scientist Advisor. Your work will provide transformative solutions to our clients big-data obstacles and help advance the mission. Here, you can make a meaningful impact on our clients mission and on your career. The ideal candidate's favorite words are learning, data, scale, and agility. You",https://www.dice.com/job-detail/99f8e6a7-53c9-4d34-83c9-840c30211f50
AI/Machine Learning Engineer,Sacrum Technologies LLC,Remote,Today,"We are looking for a highly motivated and skilled Data Scientist with a strong background in deep learning, natural language processing (NLP) and computer vision to join our team. In this role, you will be responsible for development/deployment of both computer vision and vision language models (VLMs), while also contributing to the design and implementation of a cutting-edge multi-agent LLM system. Must Have experience in: AI/Machine Learning EngineerAWS DeploymentKey Responsibilities: Develop",https://www.dice.com/job-detail/46fd424f-5f28-4e9e-98b5-a96cbf834d37
Machine Learning Engineer - Biologics R&D,"Judge Group, Inc.","Worcester, Massachusetts",Today,"Location: Worcester, MA Salary: $75.00 USD Hourly - $85.00 USD Hourly Description: One of our clients is seeking a Machine Learning Engineer to design and implement advanced ML/AI pipelines supporting biologics and genetic medicine R&D. 6-12 month contract, strong potential for extensions Hybrid in Worcester, MA (3 days/week onsite required) Key Responsibilities Design and implement ML pipelines to assess biologics developability, immunogenicity, and manufacturability.Build, tune, and dep",https://www.dice.com/job-detail/5b3f5638-8944-4380-bc37-99802b306baa
AI/ML Engineer with .NET,AGUH INC,Remote,Today,"Sr AI/MI Engineer and permanent residents. Remote Job Description: Sr AI/ML Engineer with a background in .NET technologies 12+ years strong cons only . The ideal candidate will be responsible for designing and implementing intelligent solutions that leverage AI and ML models, integrating them seamlessly with . .NET-based applications and services. Primary skill must : Semantic Kernel (Microsoft), Agentic AI, Q&A model, RAG, .NET Core, Lang, LLM Key Responsibilities: Design, develop, and deplo",https://www.dice.com/job-detail/6fe50c0f-67b2-46c6-be0b-5d902f8e646a
Senior Machine Learning Engineer,General Motors,Remote or Hybrid,Today,"Job Description Remote: This role is based remotely but if you live within a 50-mile radius of Atlanta, Austin, Detroit, Warren, Milford or Mountain View , you are expected to report to that location three times a week, at minimum. Role: The Smart Agents group is responsible for building the ML models and system to simulate road users in a variety of situations and generate the scenarios used for testing and training AV driving policies. If you think of Simulation as a video game our autonom o",https://www.dice.com/job-detail/71a8ee38-3df2-4f8b-8c32-1f5a8cc908e4
Senior Software Engineer - Machine Learning,General Motors,Remote or Hybrid,Today,"Job Description Remote: This role is based remotely but if you live within a 50-mile radius of Atlanta, Austin, Detroit, Warren, Milford or Mountain View , you are expected to report to that location three times a week, at minimum. Role: The Smart Agents group is responsible for building the ML models and system to simulate road users in a variety of situations and generate the scenarios used for testing and training AV driving policies. If you think of Simulation as a video game our autonom o",https://www.dice.com/job-detail/090d0f9a-4f0a-4264-b1ee-6c0f61a5ea87
AI/ML Engineer with .NET,Precision Technologies Corp,Remote,Yesterday,"Sr AI/ML Engineer with a background in .NET technologies 15+ years strong cons only . The ideal candidate will be responsible for designing and implementing intelligent solutions that leverage AI and ML models, integrating them seamlessly with . .NET-based applications and services. Remote Primary skill must : Semantic Kernel (Microsoft), Agentic AI, Q&A model, RAG, .NET Core, Lang, LLM Key Responsibilities: Design, develop, and deploy AI/ML models to solve business challenges. Integrate AI/",https://www.dice.com/job-detail/bf6abd9d-192e-4101-9be5-f692e054c897
Senior Machine Learning Engineer,Raas Infotek LLC,Remote,2d ago,"Job Role: Senior Machine Learning Engineer Location: Remote Duration: 12 Months Job Description: At least three years python coding experience (possibly willing to interview candidates with less experience if they have a portfolio of python code that we can review) Demonstrable experience with data analysis packages: Pandas, NumPy, seaborn, matplotlib Demonstrable experience with two or more ML packages: scikit-learn, XGBoost, Keras, TensorFlow Demonstrable experience with GIT-based source code",https://www.dice.com/job-detail/cdc9f62b-73ee-4e97-9721-e6ca48aaa865
AWS ML Engineer,JMS Technical Solutions,Remote,8d ago,"We're seeking a hands-on AWS Machine Learning Engineer to lead the development of advanced document processing and hybrid search architecture using Weaviate, AWS Bedrock, and ECS. Key Tech Stack: AWS: Bedrock, ECS, Lambda, S3, Secrets Manager, VPC, CloudWatch Languages/Tools: Python, Terraform, Weaviate, Embedding Models, NLP, RAG Data & Infra: Supabase, Airtable, Vector DBs, API Dev, Doc Chunking Responsibilities: Migrate data pipelines from Lambda to ECS Build and optimize Weaviate vector sear",https://www.dice.com/job-detail/77dee613-939c-4772-ba7c-9cbac8bf4f50
"Machine Learning Engineer, WebML - US Remote",Hugging Face,"Remote or New York, New York",Today,"At Hugging Face, we're on a journey to democratize good AI. We are building the fastest growing platform for AI builders with over 5 million users & 100k organizations who collectively shared over 1M models, 300k datasets & 300k apps. Our open-source libraries have more than 400k+ stars on Github. About the Role Hugging Face maintains a large collection of open source machine learning libraries, including transformers, diffusers, and datasets, just to name a few. However, these are all impleme",https://www.dice.com/job-detail/5383951f-3fde-45d9-b7a9-0842e08bb2c0
Systems / ML Engineer,SGS Consulting,Remote,2d ago,"Job Description: Responsibilities Include developing deep learning libraries that support large-scale distributed training, open sourcing high quality code and reproducible results for the community and bringing the latest research to Client products for connecting billions of users.The chosen candidate will work with a diverse and highly interdisciplinary team of scientists, engineers, and cross-functional partners, and will have access to cutting edge technology, resources, and research facili",https://www.dice.com/job-detail/dc4b82c8-3b6c-47eb-bebb-bd2ecf0742c0
Senior AI/ML Engineer,"Sparibis, LLC",Remote,15d ago,"Location: 100% Telework Years Experience: 10+ years professional experience Education: Bachelor degree in IT related field Clearance: Applicants must be able to obtain and maintain up to a Public Trust clearance. United States Citizenship is required as part of the eligibility criteria to be able to obtain this type of security clearance. Key Skills: Deep understanding of key statistical learning concepts such as linear regression, logistic regression, regularization, tree-based methods, unsupe",https://www.dice.com/job-detail/d2671f8f-97e4-4a42-a1e0-1baf6c72e90e
ML Ops Engineer,Apidel Technologies,Remote,19d ago,": -- . . ML Ops Engineer 6 Months (Contract to Hire) 100% Remote - Eastern Time (Candidate must be based in the USA) Top Skills (Good mix required, not all): Stakeholder collaboration (technical, product, business, vendors) ML Ops/AI tools: Jupyter, MLFlow, Nvidia Global Catalog (NGC), RunAI Docker, Slurm, Python, Conda Highly Desired: Cloud (Azure or Google Cloud Platform) Kubernetes PyTorch, torchrun, TorchX",https://www.dice.com/job-detail/57dd5686-3ede-4356-9976-85929d298685
AI/ML Integration Engineer,Randstad - Torc,Remote,Yesterday,"Roles and ResponsibilitiesDevelop and implement backend solutions integrating AI capabilities. -Collaborate with the R&D team to iterate on new AI features.Ensure seamless deployment of AI-powered functionalities.Optimize API design for microservices and distributed systems.Job Requirements5-10 years of experience (strong Master s program graduates or professionals with relevant experience). -Strong understanding of backend development, distributed system architecture, and API design.Experience",https://www.dice.com/job-detail/30b799ce-5fa5-4815-a64d-41b13ad3d3e2
Senior Machine Learning AI Engineer / Remote / Entertainment / Audio ML expert,"Motion Recruitment Partners, LLC","Remote or Los Angeles, California",Today,"Job Description This is a full-time opportunity based in Los Angeles (hybrid or remote optional for the right candidate) with a stealth-mode startup that's building foundational AI technology for the connected home. The team is rethinking what it means for hardware, software, and machine learning to work together at the OS level delivering intelligent, real-time responsiveness through multimodal input (voice, video, and context). The tech stack is cutting-edge, and this role centers on applied",https://www.dice.com/job-detail/79a5c581-9f97-4763-8f1a-8e367a34f1d5
AI/ML Engineer,TIA Infotek Inc,"Remote or Phoenix, Arizona",2d ago,"Role AI/ML EngineerLocation Phoenix, AZ Need local onlyF2f interviewDuration: 12+ Months Hands on - Gen AI & LLM Tech Stack - Python, SQL, Docker & Kubernetes, Fast API, Flask, MLOps, Machine Learning, LLM s, LangChain or similar orchestrator, Vector DB or similar, Google Cloud Platform, Google AutoML, Vertex AI & Build tools AI/ML Engineer Design and implement scalable MLOps supportive data pipelines for data ingestion, processing, and storage. Experience deploying models with MLOps tools such",https://www.dice.com/job-detail/528d4cb0-19f8-41a5-95a6-f1a231e182f5
Senior Machine Learning AI Engineer / Fully Remote / PyTorch,"Motion Recruitment Partners, LLC","Remote or Los Angeles, California",Today,"Job Description This is a full-time position based in Los Angeles, with flexibility for hybrid or fully remote work for the right candidate. You'll be joining a stealth-mode startup focused on building next-generation AI infrastructure for the connected home. The team is reinventing how hardware, software, and machine learning interact at the operating system level-enabling real-time intelligence through multimodal inputs such as voice, video, and contextual data. Work alongside a world-class",https://www.dice.com/job-detail/dd99c335-45f3-460c-8aec-780de9694e9d
AI/ML Engineer,Tech Brothers LLC,Remote,2d ago,"Job Title: AI/ML EngineerLocation: Remote (USA)Pay Rate: Competitive | Based on USA Market StandardsEligible Visas: , Experience Required: Minimum 5+ Years in AI/ML Engineering About the Company Tech Brothers Info Services is a technology-driven company committed to delivering advanced digital solutions to businesses across the United States. We specialize in cutting-edge software, cloud transformation, and AI-powered applications that empower organizations to achieve smarter, faster, and more",https://www.dice.com/job-detail/9c06babd-13da-4141-a36a-86c4a5c6e975
Senior Azure AI & ML Engineer,Luxoft USA Inc,Remote,23d ago,"Project Description:We are seeking a highly skilled and experienced Azure AI Engineer to join our team. The ideal candidate will have hands-on experience in automating various Azure AI services, including Azure AI Document Intelligence, Azure AI Vision, Azure AI Language, Azure AI Translator, and Azure OpenAI Service. This role involves designing, developing, and deploying AI solutions to enhance our business processes and drive innovation.Responsibilities:Design, develop, and implement AI solut",https://www.dice.com/job-detail/765f97ff-2094-44d2-81a4-7104b0b55628
AI/ML Platform Admin-Remote/Contract Position,Dornan Technologies,Remote,14d ago,"Role- AI/ML Platform Admin- Remote/Contract Position Location: Remote JD/Mandatory Skill requirements: -ML Engineer Advanced Analytics -ML Infra (Azure ML, Managed Kubernetes, Storage, Databricks and Key Vault) -AI & ML Platform Services (KHAI API, OpenAI Document Intelligence) -Compliance, Security and RBAC (IAM) -Azure DevOps -ML Platform usage & monitoring -Cost Optimization, Upgrades & Patches, Automations.",https://www.dice.com/job-detail/7dd6dcb2-2f19-4aa1-8635-68a3052212e2
Sr. ML Engineer - Fintech Product - Remote,"Motion Recruitment Partners, LLC","Remote or Silver Spring, Maryland",Today,"Motion Recruitment delivers IT Talent Solutions across North America. Our specialized team-based recruitment model's success is proven through our track record in filling the most challenging IT positions for startup and enterprise clients. Areas of expertise range across Software, Mobile, Data, Infrastructure, Cybersecurity, Product, and UX. We're also the proud creators of Tech in Motion and the Timmy Awards, our community event series and award program connecting tech enthusiasts to meet, lea",https://www.dice.com/job-detail/27ca68ff-de84-434c-adef-763e304d831b
Senior Machine Learning Engineer,Randstad - Torc,Remote,Yesterday,"We are looking for a Senior Machine Learning Engineer to join our team and drive the development of advanced AI-driven solutions. You will be responsible for designing, deploying, and optimizing machine learning models that power real-world applications. This role requires deep expertise in model architecture, data engineering, MLOps, and production-scale AI systems. What you'll do:Design, develop, and deploy scalable, production-ready machine learning models for real-world applications.Architec",https://www.dice.com/job-detail/80fd71e8-de3d-43e0-8cc7-92aa77e4d046
Machine Learning Model Engineer,Samsung Electronics America,"Remote or Mountain View, California",Today,Position Summary Samsung Ads is an advanced advertising technology company in rapid growth that focuses on enabling brands to connect with Samsung TV audiences as they are exposed to digital media by using the industry's most comprehensive data to build the world's smartest advertising platform. Being part of an international company such as Samsung and doing business worldwide means that we get to work on the most challenging projects with stakeholders and teams around the globe. We are proud,https://www.dice.com/job-detail/827498a9-ac8a-4281-86f1-3b6efffe6fda
Senior Machine Learning Operations Engineer,CVS Health,"Remote or Irving, Texas",Today,"At CVS Health, we're building a world of health around every consumer and surrounding ourselves with dedicated colleagues who are passionate about transforming health care. As the nation's leading health solutions company, we reach millions of Americans through our local presence, digital channels and more than 300,000 purpose-driven colleagues - caring for people where, when and how they choose in a way that is uniquely more connected, more convenient and more compassionate. And we do it all w",https://www.dice.com/job-detail/a6befb5c-8a3a-447b-932c-42f2e14675f5
"Staff Machine Learning Engineer, Ads Conversion Modeling","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/c8a27bd4-25ed-4777-b2c5-2d5522983cad
"Sr. Staff Machine Learning Engineer, Monetization, Privacy ML","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/a767845f-e2dd-488e-92e1-1fdf438bfae5
Machine Learning Engineer (L5) - Content Management & Distribution,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The goal of our Content Management & Distribution Data Science and Engineering team is to enable operational and creative excellence in the distribution and promotion o",https://www.dice.com/job-detail/994cb42f-8f38-48de-83d1-9d750fdb1ad2
Staff AI/ML Software Engineer,"ServiceNow, Inc.","Remote or Santa Clara, California",Today,"Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today - ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500 . Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But thi",https://www.dice.com/job-detail/1ad5c566-ffb8-4ee7-9a86-e8581438975f
"Staff Software Engineer, Machine Learning",Discord Inc.,"Remote or San Francisco, California",Today,"Discord is used by over 200 million people every month for many different reasons, but there's one thing that nearly everyone does on our platform: play video games. Over 90% of our users play games, spending a combined 1.5 billion hours playing thousands of unique titles on Discord each month. Discord plays a uniquely important role in the future of gaming. We are focused on making it easier and more fun for people to talk and hang out before, during, and after playing games. We have open posi",https://www.dice.com/job-detail/513d4659-265c-4fba-a319-621d8238aa4b
"Staff Machine Learning Engineer, Related Pins","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/0d962288-105f-461d-8cf4-bac71ec7135a
"Principal Machine Learning Engineer, Trust & Safety","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/395903ad-9c4e-48a4-aba6-ea766c3a1170
"Machine Learning Engineer, Core Engineering","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/82695cf5-fc6a-4535-a61b-f2366f274a7f
