ID,Name,Price,Weight,Description
AR-PRINTER-BASE-E,"Touch Dynamic AR-PRINTER-BASE-E Acrobat, Universal Printer Base, Epson TM-T70II USB Printer",$499.62,Shipping Weight:  13.00 lbs.,"Touch Dynamic AR-PRINTER-BASE-E Acrobat, Universal Printer Base, with Epson TM-T70II USB Printer (Includes all Cables and Power Supply) When not Purchased with Acrobat Unit"
AR-PRINTER-BASE-EU,"Touch Dynamic AR-PRINTER-BASE-EU Universal Printer Base, with Epson TM-T70II USB Printer",$317.46,Shipping Weight:  5.00 lbs.,"Touch Dynamic AR-PRINTER-BASE-EU Universal Printer Base, with Epson TM-T70II USB Printer (Includes all Cables and 180W Power Supply)"
BR-PRINTER-BASE-SU,"Touch Dynamic BR-PRINTER-BASE-SU Universal Printer Base, with T25 USB Thermal Printer",$404.58,Shipping Weight:  9.00 lbs.,"Touch Dynamic BR-PRINTER BASE-SU Universal Printer Base, with T25 USB Thermal Printer (Includes All Cables and 180W Power Supply)"
AR-PRINTER-BASE,Touch Dynamic AR-PRINTER-BASE Universal Printer Base with No Printer,$148.35,Shipping Weight:  5.00 lbs.,Touch Dynamic AR-PRINTER-BASE Universal Printer Base with No Printer
SLIM-PRINTER-BASE-U,"Touch Dynamic SLIM PRINTER BASE U Epson M30 3"" Printer, Black, USB/Ethernet Interface",$488.40,Shipping Weight:  13.00 lbs.,"Touch Dynamic SLIM-PRINTER-BASE-U for Acrobat, Breeze, Breeze 18.5, Breeze Ultra, and Pulse Ultra AIO, Epson M30 3"" Thermal Printer, Black, USB/Ethernet Interface, USB Cable, PSU"
SLIM-PRINTER-BASE-S,"Touch Dynamic SLIM PRINTER BASE S Epson M30 3"" Printer, Black, USB/Ethernet, Serial Adapter",$521.40,Shipping Weight:  13.00 lbs.,"Touch Dynamic SLIM-PRINTER-BASE-S for Acrobat, Breeze, Breeze 18.5, Breeze Ultra, and Pulse Ultra AIO, Epson M30 3"" Thermal Printer, Black, USB/Ethernet Interface, Serial Adapter, USB, Serial Cable, PSU"
SLIM-PRINTER-BASE,"Touch Dynamic SLIM PRINTER BASE NO PRINTER for Acrobat, Breeze Ultra, and Pulse Ultra AIO, PSU",$268.62,Shipping Weight:  13.00 lbs.,"Touch Dynamic SLIM-PRINTER-BASE NO PRINTER for Acrobat, Breeze Ultra, and Pulse Ultra AIO,"
P1063406-024,Zebra Printer ZQ500 Series Printer Media Access Kit Zebra Printer P1063406-024,,Shipping Weight:  1.00 lbs.,"Zebra Printer Kit, Acc Media Disk Support, 19mm , ZQ500 Series Printers"
MBP06-00AS-B012,"Citizen MBP06-00AS-B012 CMP-30 Printer Cradle, Battery Charger for CMP-30 Printer",$42.39,Shipping Weight:  1.00 lbs.,"Citizen CMP-30 Cradle, Battery Charger for CMP-30 Printer"
RJ4230BLF,"Brother Printer RJ4230BLF RuggedJet RJ4230BL: Mobile 4"" DT Printer, Linerless Platen, with USB","$1,322.50",Shipping Weight:  2.00 lbs.,"Brother Printer RJ4230BLF RuggedJet RJ4230BL: Mobile 4"" DT Printer, Linerless Platen, with USB, Bluetooth/MFi, NFC Pairing - Includes: 2 Year Premier Warranty, Li-ion Battery, DOC Set, Roll Holder Stop, Belt Clip"
